fracture_id,true_length,gen_length,hausdorff,endpoint_error,frechet,path_similarity,length_error
750.0,7,7,6737.123497219334,6737.123497219334,6737.123497219334,0.9998742888306387,4.781757592017387
751.0,5,5,6648.833587149134,6648.833587149134,6648.833587149134,0.9919402616447561,7.12876568122679
752.0,4,4,6929.353764645003,7121.200179970162,7121.200179970162,0.7602687124898724,17.11928461369796
753.0,2,2,6840.890339660438,7056.041622321833,7056.041622321833,0.023994188542864725,29.31752057743684
754.0,2,2,6345.977375996194,6345.977375996194,6345.977375996194,0.7881708761209081,28.376913151843063
755.0,6,6,6488.473720569927,6488.473720569927,6488.473720569927,0.9836888025434029,9.396215174697533
756.0,3,3,7884.695589195282,7903.9980904183085,7903.9980904183085,0.7535821962133894,36.20368091047877
757.0,6,6,7595.129626232269,7595.129626232269,7595.129626232269,0.9964233913281655,8.750611718068726
758.0,2,2,7334.923327412077,7334.923327412077,7334.923327412077,0.7030267147665448,35.85157263159096
759.0,3,3,7632.64594593596,7632.64594593596,7632.64594593596,0.9774879056597963,8.44881154075128
760.0,2,2,7903.03022395622,7935.288733669216,7935.288733669216,0.42634268116654606,38.1404472959298
761.0,10,10,6452.540652659125,6471.834844263852,6471.834844263852,0.9399145603182324,3.2942621604133477
762.0,3,3,9121.7905611705,9121.7905611705,9121.7905611705,0.8249109744646252,12.801333185303227
763.0,2,2,9146.384937968991,9213.871381571824,9213.871381571824,0.38153005816538493,32.98109797104348
764.0,3,3,9103.277181109017,9192.088074374245,9192.088074374245,0.7003552164733479,21.961380446959048
765.0,5,5,8110.933248640834,8870.086637635593,8870.086637635593,0.7501601606209977,11.105998433636572
766.0,8,8,9012.693506866615,9325.74611876296,9325.74611876296,0.9032058756138701,9.029633837940288
767.0,3,3,8582.604139915526,8767.094971131803,8767.094971131803,0.670629994765932,11.422403506291726
768.0,9,9,7252.593922767002,7941.777526379601,7941.777526379601,0.8778171194083746,9.481606767036814
769.0,4,4,8267.22084093211,8267.22084093211,8267.22084093211,0.8856044807613145,22.768378200741274
770.0,3,3,6924.018484682935,6924.018484682935,6924.018484682935,0.9968786496518474,6.343063895638189
