fracture_id,hausdorff,frechet,endpoint_error,length_error,path_similarity,true_n_pts,gen_n_pts
770,0.4388489049311237,1.1929202378707087,1.1929202378707087,1.4518835437725834,0.9999999983951411,3,17
771,1.1339556339736185,3.008250827893238,3.008250827893238,1.504440783762321,1.000000003146438,7,19
772,0.5907425327707776,1.1762269510695922,1.0307267410638357,1.6159991290579305,1.0000000123852886,3,17
808,0.48987054144025327,1.0935594312824695,0.8579225323688601,1.542513314512996,1.0000000043576087,3,17
810,0.351801073670505,1.0031005116763398,0.85440258294502,1.5064537145465802,1.0000000115225949,3,17
824,1.0207232193794629,3.738385722051752,3.738385722051752,1.5108293860457982,1.0000000104291595,6,18
825,0.44523562552124657,3.0539631552527915,3.0539631552527915,1.3736134982358619,1.0000000032089869,6,18
826,0.87939992926721,2.168816516264831,2.168816516264831,1.6065717502553842,1.0000000101424045,4,17
827,0.4722787400122932,1.223618979517979,1.223618979517979,1.4635140730830511,0.99999998294601,3,17
828,0.479512987400882,1.2504091767153553,1.2504091767153553,1.5107120064360828,0.9999999938215978,4,17
845,0.6681910211218944,1.7730034589652337,1.7730034589652337,1.5159245135107935,1.0000000182021438,4,17
846,1.5484135134855401,3.806699179206595,3.806699179206595,1.9816964772506727,0.9999999971004776,5,17
847,0.5047750707884577,0.8743383811246265,0.8743383811246265,1.5116287110439612,1.0000000094057642,4,17
850,1.0611692249559495,2.238067213667385,2.012244723339385,1.6571882356277312,1.0000000095529724,4,17
851,0.5546978567750648,3.47033915781324,3.47033915781324,1.580789006482062,0.9999999983805824,8,20
852,0.5404172514042201,0.9437160901394245,0.9437160901394245,1.5143357193187346,0.999999986067635,4,17
855,0.8556253180376192,4.4621429242206645,4.4621429242206645,1.4892583762767369,0.9999999960313499,9,21
877,0.5125454788418192,1.2312199462879443,1.2312199462879443,1.657701617133078,0.9999999772259586,3,17
879,0.372063748881548,1.3980083403341161,1.3980083403341161,1.2875411459904589,1.0000000013039807,4,17
880,0.8368462189892419,3.704358208627396,3.704358208627396,1.6371622878403598,1.00000001030349,6,18
881,1.2505425998359436,2.475684440284291,2.345364748798396,1.5704659305799646,0.9999999919722895,4,17
944,2.7495595897738956,5.717008172879554,5.717008172879554,2.0608558704049087,1.0000000073379058,5,17
947,0.8394195006193124,1.9524544902182246,1.9524544902182246,1.441746726485745,1.0000000173530363,4,17
948,0.39264935782315047,1.1319399856314847,1.1319399856314847,1.4045917408873116,0.9999999922788887,4,17
1086,0.7770846481045109,3.6215696202766465,3.6215696202766465,1.7535737290408604,1.000000001753978,9,21
1087,0.6333252268488302,1.2340085517204447,1.1064315789419468,1.629347701790382,0.9999999924995715,3,17
1108,0.9004345538587614,1.911836283750938,1.911836283750938,1.3234371280978399,1.000000003847268,4,17
1109,1.3965100314175014,2.83972736450856,2.83972736450856,1.5469077050088327,0.9999999948847024,5,17
1110,1.3389399157587694,4.398870086266297,4.398870086266297,1.5337357892827306,0.9999999986249248,7,19
1111,1.5149509297456991,5.1481797585865605,5.1481797585865605,1.4528214685233043,0.9999999849881835,8,20
1113,0.4451272584477473,2.4818306977105915,2.4818306977105915,1.4531834053006394,0.9999999954315045,7,19
1114,0.6979344913475123,2.215682762934414,2.215682762934414,1.5844116062294253,1.0000000049353774,5,17
1115,2.0837481920038385,2.3681793081067797,2.3681793081067797,1.7360224604637133,1.0000000071645616,4,17
1116,0.6846500332989924,2.1004216701294056,2.1004216701294056,1.369932608140308,1.0000000075056024,4,17
1117,0.556200440748847,3.662848740255625,3.662848740255625,1.4951696901816667,0.99999998795288,8,20
1119,0.6298911546409314,3.1268050986345606,3.1268050986345606,1.4059256482492852,1.0000000038712593,6,18
1126,0.47491254893747953,2.27323145220451,2.27323145220451,1.5323393644696306,1.0000000077074804,6,18
1127,0.6370332578502056,1.2154525950423054,0.9772204718558465,1.6543930424436244,1.0000000035850087,4,17
1129,0.8008997934825574,2.4478188070472893,2.4478188070472893,1.4978634454760944,1.000000003650583,5,17
1132,0.6175923150403476,1.5623273962602444,1.5623273962602444,1.625763933589914,1.0000000070600894,4,17
1134,0.4442424434322879,1.057050426933487,0.9944557228245274,1.5362340875348115,0.9999999970434952,3,17
1135,0.4502302645441252,1.1853398374010224,1.1853398374010224,1.5190541301518898,0.9999999964589378,3,17
1139,0.4405640232669464,1.2715687348279248,1.2715687348279248,1.3925315546173285,1.0000000047295552,4,17
1140,0.5185437375207091,1.022931366194414,1.022931366194414,1.4559028021694485,1.000000000977854,3,17
1141,0.5728762174507981,2.038293021883852,2.038293021883852,1.5596396234027408,1.0000000048063253,6,18
1144,0.5124993549646255,1.0612776931734695,1.0612776931734695,1.5262977598003387,1.0000000154396635,3,17
1151,2.2361212898314053,2.305672151565928,2.305672151565928,1.867233499684971,1.0000000241021427,4,17
1181,1.192944435936859,3.0154054341839314,3.0154054341839314,1.5663524801593665,0.9999999941179025,5,17
1186,0.5417847087690777,1.4823481640440628,1.4823481640440628,1.5516426616247119,1.0000000072968973,4,17
1197,0.440764174771618,1.50084006572993,1.50084006572993,1.3720433568475348,1.0000000083573894,4,17
1199,0.38501147212493086,1.0327572360501591,1.0327572360501591,1.5992077937646332,0.9999999716463512,3,17
1244,0.5034403061345412,1.2165350120744625,1.2165350120744625,1.6271115750550527,0.9999999858629804,3,17
1253,0.5422595564550466,1.5284056203186693,1.5284056203186693,1.501204244403014,0.9999999995046105,5,17
1257,0.6993886420410482,2.893069052940448,2.893069052940448,1.476987083765146,1.0000000065833239,6,18
