type,value
generated,2.2529380321502686
generated,1.787391185760498
generated,1.390311360359192
generated,2.0125980377197266
generated,1.0722413063049316
generated,0.519000232219696
generated,0.2296093851327896
generated,0.14112718403339386
generated,0.11637121438980103
generated,0.07884348928928375
generated,0.06287830322980881
generated,0.05192850902676582
generated,0.0
generated,1.462822675704956
generated,0.537177324295044
generated,0.845462441444397
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.9779723286628723
generated,0.323678582906723
generated,0.5373714566230774
generated,0.192789688706398
generated,0.0
generated,0.0
generated,0.0
generated,0.8961191773414612
generated,1.103880763053894
generated,1.0337719917297363
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,1.0254416465759277
generated,0.4161699116230011
generated,0.4997851848602295
generated,0.19088983535766602
generated,0.0
generated,0.0
generated,0.0
generated,1.5506534576416016
generated,0.4493465721607208
generated,0.8161709904670715
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.895355224609375
generated,0.4045443534851074
generated,0.5953478217124939
generated,0.19363124668598175
generated,0.0
generated,0.0
generated,0.0
generated,0.17014791071414948
generated,0.9004279971122742
generated,1.595798134803772
generated,1.7304044961929321
generated,0.9999999403953552
generated,3.085963726043701
generated,0.0
generated,0.0
generated,0.0
generated,2.7883687019348145
generated,0.40800338983535767
generated,0.6281315088272095
generated,0.6758040189743042
generated,0.3929515480995178
generated,0.5799547433853149
generated,0.19287198781967163
generated,0.0
generated,0.42016005516052246
generated,1.1508369445800781
generated,1.0337730646133423
generated,0.9662268757820129
generated,1.9276810884475708
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,1.9289871454238892
generated,0.44355881214141846
generated,0.47632017731666565
generated,0.3560512661933899
generated,0.5341771841049194
generated,0.19128620624542236
generated,0.0
generated,1.0536130666732788
generated,0.3452814817428589
generated,0.4629240036010742
generated,4.4569478034973145
generated,1.110815405845642
generated,0.9463871717453003
generated,4.564665794372559
generated,0.0
generated,0.0
generated,4.807427883148193
generated,0.47888901829719543
generated,0.6087072491645813
generated,0.9406381249427795
generated,1.3004223108291626
generated,0.8021727800369263
generated,0.7171841859817505
generated,0.20843468606472015
generated,0.0
generated,1.3284602165222168
generated,3.3263943195343018
generated,0.9999999403953552
generated,0.8231696486473083
generated,0.3885321319103241
generated,2.700028896331787
generated,0.0
generated,0.0
generated,0.0
generated,4.043286323547363
generated,1.0249817371368408
generated,1.2849845886230469
generated,0.6524456739425659
generated,0.4903077483177185
generated,0.5705353617668152
generated,0.20036466419696808
generated,0.0
generated,0.5692789554595947
generated,0.4586391746997833
generated,0.9999999403953552
generated,1.5149917602539062
generated,1.7068785429000854
generated,3.1762025356292725
generated,0.0
generated,0.0
generated,0.0
generated,2.403435468673706
generated,0.4507562220096588
generated,0.42291417717933655
generated,0.47409066557884216
generated,0.5068513751029968
generated,0.5751708149909973
generated,0.1929762363433838
generated,0.0
generated,0.7503746747970581
generated,1.249625325202942
generated,1.0823023319244385
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.8777879476547241
generated,0.31868642568588257
generated,0.5772530436515808
generated,0.19128713011741638
generated,0.0
generated,0.0
generated,0.0
generated,2.51893949508667
generated,0.9957965016365051
generated,1.2553755044937134
generated,0.766570508480072
generated,0.9999998807907104
generated,2.6847004890441895
generated,0.0
generated,0.0
generated,0.0
generated,3.347194194793701
generated,1.1553047895431519
generated,0.7753657698631287
generated,0.5495635271072388
generated,0.32608848810195923
generated,0.6355226039886475
generated,0.19368647038936615
generated,0.0
generated,1.291163682937622
generated,0.4033203721046448
generated,0.7088363766670227
generated,1.5698171854019165
generated,2.0999648571014404
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,2.0033862590789795
generated,0.6081690192222595
generated,0.4240693747997284
generated,0.2967604100704193
generated,0.5606645941734314
generated,0.19248484075069427
generated,0.0
generated,0.4381549060344696
generated,1.8328083753585815
generated,1.0
generated,1.773990511894226
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,1.4672306776046753
generated,0.41338279843330383
generated,0.4646547734737396
generated,0.556847095489502
generated,0.19328798353672028
generated,0.0
generated,0.0
generated,0.9999999403953552
generated,1.1534878015518188
generated,0.7457172870635986
generated,1.3802584409713745
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,0.0
generated,1.3178210258483887
generated,0.3913070559501648
generated,0.3884179890155792
generated,0.5056584477424622
generated,0.1908983737230301
generated,0.0
generated,0.0
generated,0.6891637444496155
generated,1.3108361959457397
generated,1.1031746864318848
generated,0.0
