fracture_id,point_idx,coord_x,coord_y,prev_angle,next_angle,prev_length,next_length,curvature,closest_seg_0_p1_x,closest_seg_0_p1_y,closest_seg_0_p2_x,closest_seg_0_p2_y,closest_seg_1_p1_x,closest_seg_1_p1_y,closest_seg_1_p2_x,closest_seg_1_p2_y,closest_seg_2_p1_x,closest_seg_2_p1_y,closest_seg_2_p2_x,closest_seg_2_p2_y,closest_seg_3_p1_x,closest_seg_3_p1_y,closest_seg_3_p2_x,closest_seg_3_p2_y
5.0,3,794336.499904003,987579.6249965952,-1.1477487336310093,2.031321271940799,235.51217787053605,626.6611731774412,0.0085814332183014,794433.1873746701,987364.8750980124,794365.125174839,987361.81244009,794365.125174839,987361.81244009,794268.1873765886,987343.8124760912,794268.1873765886,987343.8124760912,794218.0001410022,987343.3124770968,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345
5.0,4,794058.0001329221,988141.0001861752,-1.1102713816489944,2.0015050039226687,626.6611731774412,485.4619696623825,0.003600839846192501,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345,793484.1249683388,988622.1248800904,793225.8748286702,988918.6876071766
5.0,5,793855.3125461712,988582.1249600948,-1.1400876496671246,1.9587237571069351,485.4619696623825,187.69678254298768,0.0027983561550413752,793484.1249683388,988622.1248800904,793225.8748286702,988918.6876071766,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345
5.0,6,793784.3123600855,988755.8749406784,-1.182868896482858,2.0232312211046524,187.69678254298768,393.88005595111446,0.0046042359187233655,793484.1249683388,988622.1248800904,793225.8748286702,988918.6876071766,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345
5.0,7,793612.1250404194,989110.1248883456,-1.118361432485141,1.974381776783706,393.88005595111446,150.87121989993116,0.0052933418881836985,793484.1249683388,988622.1248800904,793225.8748286702,988918.6876071766,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345
5.0,8,793552.8751589209,989248.8749389276,-1.1672108768060874,2.038835615695652,150.87121989993116,50.982886293007596,0.005678705861926518,793484.1249683388,988622.1248800904,793225.8748286702,988918.6876071766,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793055.6251691692,987904.3750032634,793157.8749646693,987984.8748422638,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468
5.0,9,793529.8748768382,989294.3748479262,-1.1027570378941411,0.0,50.982886293007596,0.0,0.015250349790716627,793484.1249683388,988622.1248800904,793225.8748286702,988918.6876071766,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793055.6251691692,987904.3750032634,793157.8749646693,987984.8748422638,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468
6.0,0,794671.499890171,980279.1874977574,0.0,-2.4818263307619652,0.0,51.494438142357225,0.0,794736.3750885054,980189.1876777634,794736.3750885054,980189.1876777634,794413.1874146722,980430.1248599292,794413.1874146722,980430.1248599292,794283.1250107549,980322.8750744238,794283.1250107549,980322.8750744238,794671.499890171,979833.8750681804,794671.499890171,979833.8750681804
6.0,1,794630.8123075031,980247.6248968468,0.659766322827828,-2.6304720492093447,51.494438142357225,193.18993428765336,0.0,794736.3750885054,980189.1876777634,794755.6250500046,980157.875076346,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794671.499890171,979833.8750681804,794495.1249148361,979787.8124962598
6.0,2,794462.312644504,980153.1250858456,0.5111206043804486,-2.6209107931065874,193.18993428765336,156.41593278398116,0.012254342757712108,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275,794293.3749902546,980293.0001341776,794293.6249897555,980255.3752094284,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232
6.0,3,794326.6249237545,980075.3125774264,0.5206818604832061,-2.5408029931357663,156.41593278398116,77.28292566280484,0.008958850772193544,794293.3749902546,980293.0001341776,794293.6249897555,980255.3752094284,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794423.875057336,980340.1250399275,794439.3126905039,980286.87481834,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275
6.0,4,794262.8750512525,980031.62500076,0.6007896604540269,0.0,77.28292566280484,0.0,0.013109435989308896,794293.3749902546,980293.0001341776,794293.6249897555,980255.3752094284,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794423.875057336,980340.1250399275,794439.3126905039,980286.87481834,794671.499890171,979833.8750681804,794495.1249148361,979787.8124962598
7.0,0,794003.6249135882,982125.6874136776,0.0,0.5575673486300594,0.0,359.4389458946239,0.0,793976.8749670871,981941.8124533443,793976.8749670871,981941.8124533443,794367.187506672,981762.5001479238,794367.187506672,981762.5001479238,794344.1248887554,982612.6250880955,794344.1248887554,982612.6250880955,793435.8750648387,981864.8749431744,793435.8750648387,981864.8749431744
7.0,1,794308.6249597557,982315.8750254288,-2.584025304959734,0.0,359.4389458946239,0.0,0.0,794344.1248887554,982612.6250880955,794348.812543422,982672.6249680966,794740.1250810027,982130.8124034256,794888.3124486692,982453.8750775084,794367.187506672,981762.5001479238,794284.8750072531,981831.1250106768,793976.8749670871,981941.8124533443,794254.5000680052,981425.6875013412
8.0,0,792678.874938421,979490.8750980124,0.0,0.610260695737695,0.0,242.22118252151128,0.0,792520.1875917539,979586.3749070092,792520.1875917539,979586.3749070092,792448.3124074191,979250.8125860096,792448.3124074191,979250.8125860096,791986.8123461716,979608.999861762,791986.8123461716,979608.999861762,793368.8751988374,978773.3752206787,793368.8751988374,978773.3752206787
