,id_arr,coord_x,coord_y
224,39.0,790099.8125112541,955997.3751690909
225,39.0,789913.9998907521,955805.8748959303
226,40.0,793775.8750410043,958355.1250467598
227,40.0,793792.1873443387,958486.1251128465
228,40.0,793921.6250775866,959130.1874730065
229,40.0,793999.3749220856,959334.5000565127
230,41.0,785670.3748478368,957938.4998957589
231,41.0,785603.8749808371,958259.124910675
232,41.0,785552.3750838377,958588.6249078438
233,41.0,785518.3124879189,958921.3125626743
234,41.0,785516.875154838,959032.8750035912
235,41.0,785547.687429171,959261.1875390932
236,41.0,785573.6873771697,959604.000173673
237,41.0,785575.3750378378,959783.6874783412
238,42.0,788597.3748993389,940364.3749390915
239,42.0,788615.3748633377,940053.1875693426
240,42.0,788615.3748633377,939687.6873160899
241,42.0,788661.6250989214,938978.3124225065
242,42.0,788677.1250679195,938393.499943845
243,43.0,791079.4998563379,939607.8124758452
244,43.0,791244.6875180863,939730.8748937622
245,43.0,791572.0001836717,939933.8124800101
246,43.0,791874.8749060035,940151.0000377595
247,43.0,792071.3125052527,940296.3124111742
248,44.0,789856.8123410866,939423.6875160113
249,44.0,790142.6250896715,939605.8124798462
250,44.0,790309.5000840053,939726.8749017566
251,44.0,790678.6250019222,940028.6249544248
252,44.0,790734.1875548363,940070.8125340939
253,45.0,791158.3750266694,940801.625048846
254,45.0,791187.812631838,940622.1250797585
255,45.0,791218.1249071695,940328.6876745075
256,46.0,790326.3123863377,937593.6249031797
257,46.0,790543.8126075044,937843.6250593439
258,46.0,790828.3123665862,938164.1250745133
259,46.0,791275.1874570884,938710.8123013452
260,46.0,791732.3125270866,939237.874895513
261,46.0,792233.3751732521,939769.6251443401
262,46.0,792315.3126734197,939866.8749498427
263,46.0,792686.3749234192,940365.8749360964
264,47.0,793206.1248681694,939469.125089176
265,47.0,793143.6249931715,939728.1248992607
266,47.0,793127.5000254214,939792.875097841
267,47.0,793015.3125857525,940386.124895595
268,48.0,793087.0001064204,940470.1873915121
269,48.0,793135.12501017,940410.5001749247
270,48.0,793265.8750767522,940296.1874114275
271,48.0,793303.1250022538,940253.8748320118
272,48.0,793914.8124271706,939684.8123218417
273,48.0,794050.8124832548,939513.8126638457
274,48.0,794144.3749601692,939364.812305674
275,49.0,781591.375131838,940618.8124223426
276,49.0,781627.3750598356,940608.81244234
277,49.0,781713.624887336,940570.000184007
278,49.0,781780.0000826716,940550.124895677
279,49.0,782158.1876465045,940381.6875685081
280,49.0,782332.6249616705,940291.6250845939
281,49.0,782464.3750262521,940210.624918513
282,49.0,782621.5000400878,940137.3124010935
283,49.0,782921.8124315888,939948.3124510124
284,49.0,782998.1249430031,939908.4998665899
285,49.0,783123.6873559207,939829.1250253469
286,49.0,783187.1248930879,939798.1250873432
287,49.0,783345.4999044202,939696.6876261756
288,49.0,783477.1249692552,939602.1248231754
289,49.0,783717.8751439191,939451.1251251772
290,49.0,783809.1249614209,939401.6248960942
291,49.0,783991.6249245033,939279.3124766797
292,49.0,784234.8124302551,939137.3124325946
293,49.0,784350.8125263378,939060.3125865906
294,50.0,791597.8124680035,943116.1250130087
295,50.0,791383.8749037534,942965.3126505911
296,50.0,791172.8749976717,942792.3123404235
297,50.0,790690.6249779202,942409.1874505132
298,50.0,790506.6250178367,942270.1250645965
299,50.0,790073.6248995885,941952.1873802617
300,50.0,789915.3748880029,941850.3749198467
301,50.0,789755.6875433363,941724.8751708418
302,50.0,789254.8125608377,941296.1250440925
303,50.0,788470.0001540855,940740.1248437613
304,50.0,788378.6250087544,940659.8750042617
305,50.0,788090.1875935048,940455.8750841767
306,50.0,787805.1875073388,940231.3748770133
307,50.0,787579.9999655858,940065.3125450909
308,50.0,787261.1249471717,939842.9999975935
309,50.0,786947.6875819191,939601.687488094
310,51.0,786285.3125943355,933455.6249770969
311,51.0,786290.3749201708,933642.3749316782
312,51.0,786314.3748721704,934002.4998675957
313,51.0,786313.3748741709,934135.812593095
314,51.0,786301.312562339,934233.8750610128
315,51.0,786262.3749761693,934442.1249725968
316,51.0,786219.1250626706,934608.3749681786
317,51.0,786167.3751661703,934774.812299341
318,51.0,786129.6875775047,934881.187414676
319,51.0,786071.6250295863,935000.8751674294
320,51.0,786030.3751120865,935107.3126185909
321,51.0,785992.499859754,935208.6250800118
322,52.0,786399.8750292547,938797.4997920096
323,52.0,786311.6875415854,938789.1874726787
324,52.0,786211.8124132529,938774.9998370111
325,52.0,786131.3749100864,938760.8751933426
326,52.0,786027.6251175888,938742.8125654235
327,52.0,785856.1248044223,938699.6249877587
328,52.0,785713.0000906698,938648.6250897571
329,52.0,785636.9999145865,938601.8748551756
330,52.0,785551.8124209195,938540.1249786764
331,52.0,785431.8749967553,938481.812431261
332,52.0,785249.5000334196,938375.9999788404
333,52.0,785162.8125427552,938311.1251085922
334,52.0,785088.3750275858,938257.1248885095
335,52.0,784758.8123665042,938008.3750579283
336,52.0,784484.6249227524,937775.6875311732
337,52.0,784301.4999609217,937593.9999024272
338,52.0,783894.6251185052,937164.8124405965
339,52.0,783727.8751239218,936992.1251219288
340,52.0,783203.8748595864,936392.6250085905
341,52.0,782515.8749232553,935666.3748206794
342,52.0,782136.1876905039,935242.8750115111
343,52.0,781527.6249312535,934603.6249776781
344,52.0,781427.6251312532,934514.3124922588
345,53.0,785492.3125399202,935976.1875212565
346,53.0,785630.1249283366,935992.9998235926
347,53.0,785748.8750189207,936004.374800846
348,53.0,785883.3124140874,936017.6251024231
349,53.0,786110.6249515861,936044.1250494272
350,53.0,786312.1248766705,936078.6876443401
351,53.0,786469.1248907521,936111.812578097
352,53.0,786566.3123604208,936131.8125380948
353,53.0,786636.6252119206,936147.1875073463
354,54.0,786737.6250099204,936518.6250846758
355,54.0,786659.6875017546,936499.1251236796
356,54.0,786327.1875105873,936434.6249245927
357,54.0,786152.1248685867,936411.1249715909
358,54.0,785766.1876483373,936339.1874514297
359,55.0,786259.6249816716,930638.312370263
360,55.0,786529.6250978373,930956.8123894259
361,55.0,786705.8750734217,931147.5000001788
362,55.0,786988.5001643375,931380.1248630136
363,55.0,787145.1251791716,931493.4999643415
364,56.0,786177.62514567,935371.1250830963
365,56.0,786163.6248455867,935546.3123967573
366,56.0,786121.3749300875,935690.8750997633
367,57.0,784777.624992922,935273.1249510124
368,57.0,784813.687584836,935199.3750985116
369,57.0,784887.1251020022,935053.0000631735
370,57.0,784943.4999892525,934961.3125825077
371,57.0,785019.3125016689,934850.812475428
372,57.0,785048.6874429211,934810.1248927563
373,58.0,785698.8124550022,936391.6873464286
374,58.0,785617.1249543354,936325.3751430959
375,58.0,785592.5000035875,936306.1875174269
376,58.0,785489.1875461712,936205.6250545084
377,58.0,785262.1250081696,935971.1251954287
378,58.0,785122.374959588,935849.687446177
379,58.0,784914.6250470057,935654.6248441786
380,58.0,784710.5001271702,935480.0001934245
381,58.0,784580.1250598356,935385.875053592
382,58.0,784206.999821838,935176.9998151734
383,58.0,784028.1248515025,935052.1250649244
